,Ship Mode,State,Sales,Profit
540,First Class,Wisconsin,468.9,206.31599999999997
541,First Class,Arizona,380.864,38.08639999999997
546,First Class,New York,41.28,13.932000000000002
547,First Class,New York,13.36,6.4128
552,First Class,Florida,34.504,6.038199999999996
563,First Class,Washington,3.96,0.0
564,First Class,Washington,2.61,1.2006
565,First Class,California,374.376,46.79699999999997
598,First Class,Pennsylvania,11.632,1.0177999999999994
610,First Class,Texas,369.576,41.57730000000004
611,First Class,Texas,15.712,5.695599999999999
668,First Class,Ohio,30.36,8.7285
673,First Class,Indiana,61.44,16.5888
674,First Class,Indiana,38.9,17.505
675,First Class,Indiana,99.39,40.749900000000004
685,First Class,Mississippi,479.97,163.18980000000005
686,First Class,Mississippi,14.62,6.8713999999999995
687,First Class,Mississippi,19.44,9.3312
694,First Class,Pennsylvania,198.272,17.348799999999983
695,First Class,Pennsylvania,47.36,17.759999999999998
696,First Class,Pennsylvania,200.984,62.807500000000005
697,First Class,Pennsylvania,97.696,31.751199999999997
698,First Class,Pennsylvania,2.696,0.8088000000000002
699,First Class,Pennsylvania,18.588,-13.6312
700,First Class,Pennsylvania,4.896,-3.4272
707,First Class,New York,119.96,52.782399999999996
708,First Class,New York,883.92,-110.49000000000001
709,First Class,New York,46.72,15.767999999999997
710,First Class,New York,55.48,26.630399999999998
716,First Class,Delaware,9.94,3.0813999999999995
727,First Class,New York,182.72,84.0512
728,First Class,New York,400.032,-153.34560000000005
729,First Class,New York,33.63,10.089000000000002
730,First Class,New York,542.646,102.49979999999994
731,First Class,New York,6.3,3.024
753,First Class,California,1199.976,374.99250000000006
777,First Class,California,544.008,40.80060000000003
778,First Class,California,59.94,28.171799999999998
779,First Class,California,23.92,11.720800000000002
780,First Class,California,4.28,1.9260000000000002
796,First Class,New York,132.79,63.7392
797,First Class,New York,12.96,6.2208000000000006
798,First Class,New York,21.56,10.348799999999999
800,First Class,California,22.23,7.3359000000000005
801,First Class,California,215.968,18.897199999999998
804,First Class,California,18.28,6.215200000000001
807,First Class,Nebraska,28.4,11.075999999999997
808,First Class,Nebraska,149.97,50.9898
809,First Class,Washington,11.52,3.2256
810,First Class,Washington,1298.55,311.65199999999993
811,First Class,Washington,213.92,62.0368
812,First Class,Washington,25.78,2.5779999999999994
815,First Class,Wisconsin,51.84,24.883200000000002
842,First Class,California,37.44,11.7
843,First Class,California,26.976,8.767199999999999
844,First Class,California,11.36,3.2943999999999996
845,First Class,California,14.62,6.8713999999999995
867,First Class,Pennsylvania,15.936,5.1792
869,First Class,Pennsylvania,1141.47,-760.98
870,First Class,Pennsylvania,280.782,-46.797000000000025
871,First Class,New Hampshire,34.44,17.22
883,First Class,Michigan,31.4,10.047999999999998
891,First Class,Michigan,4.54,2.043
892,First Class,Michigan,15.92,5.412800000000001
893,First Class,Michigan,543.92,135.97999999999996
894,First Class,California,155.82,42.0714
895,First Class,California,70.008,24.502799999999993
899,First Class,Ohio,8.904,-6.5296
900,First Class,Texas,10.44,3.393
901,First Class,Texas,18.336,-32.088
902,First Class,Illinois,323.976,20.24849999999998
913,First Class,Wisconsin,46.94,19.245399999999997
914,First Class,Wisconsin,143.73,56.0547
925,First Class,Pennsylvania,15.552,5.443199999999999
926,First Class,Pennsylvania,252.0,53.55000000000001
929,First Class,Ohio,14.592,2.553600000000001
930,First Class,Ohio,89.856,21.3408
931,First Class,Ohio,13.872,5.028599999999999
937,First Class,New Mexico,159.99,54.39660000000001
940,First Class,California,17.12,8.0464
946,First Class,Arizona,393.165,-204.44580000000002
962,First Class,California,21.88,10.94
964,First Class,New York,9.82,4.8118
965,First Class,New York,35.97,9.7119
966,First Class,New York,12.96,6.2208000000000006
967,First Class,New York,191.6,91.96799999999999
968,First Class,New York,8.64,4.233600000000001
969,First Class,New York,501.81,0.0
977,First Class,Michigan,3059.982,679.9960000000001
978,First Class,North Carolina,3.282,-2.6256000000000004
979,First Class,Indiana,34.02,16.669800000000002
991,First Class,New York,14.624,5.484
992,First Class,California,10.23,4.9104
993,First Class,California,154.9,69.70500000000001
1006,First Class,Arizona,7.08,2.4779999999999998
1007,First Class,Arizona,4.401,-3.5208000000000004
1009,First Class,Illinois,95.984,5.998999999999995
1010,First Class,California,151.72,27.309600000000003
1024,First Class,California,11.808,4.2804
1033,First Class,Ohio,15.696,5.1012
1034,First Class,Ohio,2.628,-1.9272
1035,First Class,Ohio,14.427,-10.579799999999999
1037,First Class,California,36.624,13.734000000000002
1038,First Class,North Carolina,23.968,2.6964000000000006
1039,First Class,North Carolina,28.728,1.7955000000000005
1043,First Class,Illinois,8.84,2.9835000000000003
1044,First Class,Illinois,58.464,-146.16
1050,First Class,Pennsylvania,168.464,-29.4812
1051,First Class,Pennsylvania,6.72,2.436
1052,First Class,Pennsylvania,282.888,56.57759999999999
1067,First Class,California,194.848,12.178000000000026
1076,First Class,Indiana,40.88,10.628800000000002
1097,First Class,California,447.84,11.19599999999997
1098,First Class,California,7.04,2.0416
1099,First Class,California,8.73,4.1031
1100,First Class,California,29.29,9.665699999999998
1101,First Class,California,8.64,2.5056000000000003
1132,First Class,California,19.44,9.3312
1154,First Class,Virginia,122.48,0.0
1155,First Class,Virginia,2244.48,493.78559999999993
1156,First Class,Virginia,62.31,29.285700000000006
1157,First Class,Virginia,455.1,100.12200000000001
1174,First Class,New York,50.112,16.2864
1182,First Class,North Carolina,21.744,7.3386
1183,First Class,North Carolina,7.92,0.6929999999999996
1205,First Class,North Carolina,271.96,16.997499999999974
1222,First Class,New York,113.79,20.482200000000006
