,Category,Category_,Sub-Category,Profit
804,Furniture,0,Furnishings,6.215200000000001
807,Furniture,0,Furnishings,11.075999999999997
810,Furniture,0,Tables,311.65199999999993
813,Furniture,0,Furnishings,6.215200000000001
819,Furniture,0,Chairs,0.0
829,Furniture,0,Chairs,90.58799999999997
841,Furniture,0,Bookcases,9.302400000000006
847,Furniture,0,Chairs,77.7438
848,Furniture,0,Furnishings,8.556800000000003
853,Furniture,0,Furnishings,14.671800000000001
866,Furniture,0,Furnishings,21.295399999999997
875,Furniture,0,Furnishings,64.51799999999997
880,Furniture,0,Chairs,262.3900000000001
883,Furniture,0,Furnishings,10.047999999999998
884,Furniture,0,Furnishings,5.936400000000001
906,Furniture,0,Bookcases,12.117600000000039
912,Furniture,0,Furnishings,9.101999999999999
913,Furniture,0,Furnishings,19.245399999999997
915,Furniture,0,Tables,-18.55619999999999
916,Furniture,0,Chairs,-56.996000000000095
942,Furniture,0,Tables,41.78520000000003
946,Furniture,0,Tables,-204.44580000000002
947,Furniture,0,Furnishings,-12.912199999999984
948,Furniture,0,Furnishings,75.54239999999993
949,Furniture,0,Tables,-619.596
952,Furniture,0,Furnishings,7.6416
954,Furniture,0,Bookcases,-11.596000000000004
959,Furniture,0,Furnishings,53.196
960,Furniture,0,Chairs,28.137200000000007
970,Furniture,0,Furnishings,28.598399999999998
980,Furniture,0,Chairs,93.22320000000002
983,Furniture,0,Chairs,75.49000000000001
988,Furniture,0,Furnishings,72.80699999999996
990,Furniture,0,Chairs,131.27850000000012
998,Furniture,0,Furnishings,9.158000000000001
999,Furniture,0,Furnishings,12.9129
1002,Furniture,0,Tables,-290.8752000000002
1010,Furniture,0,Furnishings,27.309600000000003
1011,Furniture,0,Furnishings,46.575
1013,Furniture,0,Tables,356.04139999999984
1016,Furniture,0,Furnishings,6.700800000000001
1017,Furniture,0,Furnishings,63.88619999999999
1021,Furniture,0,Chairs,316.88249999999994
1030,Furniture,0,Chairs,213.735
1031,Furniture,0,Furnishings,52.1262
1036,Furniture,0,Furnishings,8.662000000000006
1040,Furniture,0,Tables,146.40359999999998
1042,Furniture,0,Bookcases,90.29399999999998
1045,Furniture,0,Chairs,-18.186000000000007
1047,Furniture,0,Furnishings,-3.8384999999999962
1050,Furniture,0,Furnishings,-29.4812
1052,Furniture,0,Furnishings,56.57759999999999
1054,Furniture,0,Furnishings,22.76400000000001
1060,Furniture,0,Chairs,-29.25240000000001
1067,Furniture,0,Chairs,12.178000000000026
1081,Furniture,0,Chairs,121.76010000000008
1082,Furniture,0,Tables,-264.9208
1089,Furniture,0,Furnishings,1.9990000000000023
1097,Furniture,0,Tables,11.19599999999997
1099,Furniture,0,Furnishings,4.1031
1106,Furniture,0,Furnishings,-0.7566000000000002
1114,Furniture,0,Bookcases,-12.688199999999995
1123,Furniture,0,Furnishings,11.580000000000002
1126,Furniture,0,Chairs,224.26740000000007
1129,Furniture,0,Tables,75.66239999999999
1141,Furniture,0,Furnishings,53.196
1151,Furniture,0,Furnishings,1.2528000000000006
1155,Furniture,0,Tables,493.78559999999993
1157,Furniture,0,Tables,100.12200000000001
1158,Furniture,0,Chairs,19.518399999999986
1167,Furniture,0,Furnishings,33.9388
1177,Furniture,0,Chairs,51.75
1190,Furniture,0,Chairs,89.2224
1194,Furniture,0,Furnishings,2.5532000000000004
1196,Furniture,0,Furnishings,-2.098799999999997
1198,Furniture,0,Chairs,-4.113600000000005
1200,Furniture,0,Chairs,40.80060000000003
1202,Furniture,0,Chairs,10.679399999999987
1211,Furniture,0,Bookcases,21.717599999999948
1212,Furniture,0,Chairs,-48.470399999999984
1217,Furniture,0,Furnishings,1.7024000000000008
1222,Furniture,0,Furnishings,20.482200000000006
